Name,Year,Sex,SPR,CPI,Dam Name,Dam Year,Dam SPR,Dam CPI,Dam Sire Name,Dam Sire Year
Ain't She Awesome,2000/02/14,filly,96,4.3,Primarily,1988,98,10.8,Lord At War (ARG),1980
Always Awesome,2000/04/01,filly,,,,,,,,
Awesome Action,2000/02/26,gelding,95,5.8,Opinionated Lady,1993,85,1.7,Known Fact,1977
Awesome Cannonball,2000/02/04,colt,71,1.2,Splash Em Baby,1988,77,2.1,Bucksplasher,1977
Awesome Charm,2000/04/12,filly,83,2.5,Reet Petite,1990,98,9.3,Maudlin,1978
Awesome Dancing,2000/01/06,gelding,69,1.2,Lulu,1991,91,4.0,Afleet,1984
Awesome Dividend,2000/05/08,colt,,,,,,,,
Awesome for Sure,2000/04/30,filly,62,0.8,Woodsy Meadow,1995,86,2.2,Meadowlake,1983
Awesome Frances,2000/01/17,filly,81,1.7,Frances in the Sky,1994,94,5.6,Sky Classic,1987
Awesome Minister,2000/01/31,gelding,25,0.1,Golden West,1994,80,1.5,Gone West,1984
Awesome Mom,2000/04/05,filly,,,,,,,,
Awesome Notion,2000/04/05,filly,,,,,,,,
Awesome of Course,2000/04/13,colt,,,,,,,,
Awesome Powers,2000/02/02,filly,79,1.6,Jill Miner,1990,98,11.7,Maudlin,1978
Awesome Punch,2000/01/08,filly,7,0.0,Joustabout,1995,99,9.2,Apalachee,1971
Awesome Reef,2000/03/01,filly,,,,,,,,
Awesome Rush,2000/03/07,gelding,,,,,,,,
Awesome Sword,2000/04/06,colt,,,,,,,,
Awesome Time,2000/02/27,colt,92,6.7,Slew Boyera,1987,92,2.7,Seattle Slew,1974
Awesome Touch,2000/03/23,filly,92,2.7,Baby Millie,1991,91,2.6,Gallapiat,1973
Belenus,2000/03/22,colt,73,4.4,Sun Blush,1989,96,4.7,Ogygian,1983
Blooming Again,2000/04/18,filly,,,,,,,,
Brush the Law Agin,2000/01/29,gelding,40,0.3,Brush With the Law,1993,94,6.1,Broad Brush,1983
Carolina Sunrise,2000/03/09,filly,54,0.5,Stylish Star,1986,98,16.7,Our Native,1970
Clays Awesome,2000/02/17,gelding,87,2.3,Our Shopping Spree,1990,94,6.3,Talc,1972
Dattt Way,2000/04/16,filly,74,1.0,March On He Said,1979,,,Stop the Music,1970
Dealing With Daisy,2000/05/06,filly,67,1.1,Campaign Worker,1983,,,Our Michael,1963
Destined to Win,2000/05/19,gelding,87,1.9,Designatoree,1991,62,0.7,Alysheba,1984
Diamond Bullet,2000/05/21,gelding,71,1.0,Po Po Au Pooh,1994,86,3.3,Tong Po,1988
Doll to Call,2000/01/22,filly,27,0.1,Devil's Doll,1992,38,0.2,Devil's Bag,1981
Easy Cruiser,2000/03/17,colt,66,1.7,Desert Radiance,1989,93,3.2,Desert Wine,1980
Echeverria,2000/02/08,colt,57,1.3,Evil's Pic,1992,98,9.1,Piccolino,1987
Ghostzapper,2000/04/06,colt,,,,,,,,
Glorious Again,2000/03/09,filly,93,3.4,Family Enterprize,1990,97,10.1,Tri Jet,1969
He's a Hunk,2000/04/15,gelding,76,1.8,Fanny's Flying,1988,85,1.7,Flying Paster,1976
He's Awesome,2000/05/03,gelding,81,1.8,Sister Queen,1994,96,6.2,Irish River (FR),1976
Headline News,2000/02/15,colt,74,0.9,Printing Press,1981,63,0.6,In Reality,1964
Heavens Passport,2000/02/03,filly,85,1.8,Up and Above,1994,85,1.8,Mt. Livermore,1981
Hotstufanthensome,2000/01/30,gelding,94,9.2,Don't Read My Lips,1991,92,5.8,Turkoman,1982
I'm an Awesome Cat,2000/03/08,gelding,55,0.6,I'm No Pussycat,1986,35,0.1,Valdez,1976
In Love Again,2000/04/07,filly,83,3.0,Dhaka,1988,98,7.9,Icecapade,1969
Kazaa,2000/03/03,filly,22,0.1,Joyous Melody,1990,96,6.8,Phone Trick,1982
Miney's Awesome,2000/03/11,filly,68,1.4,Mine Tonight,1983,96,5.8,Upper Nile,1974
Miss Awesome,2000/04/12,filly,77,1.2,Tanja,1993,93,5.0,Allen's Prospect,1982
Moomba,2000/03/01,colt,,,,,,,,
Most Awesome,2000/01/21,filly,,,,,,,,
Narita Roadster,2000/05/24,colt,19,0.1,Seattle Meteor,1986,98,17.1,Seattle Slew,1974
Nora T.,2000/02/14,filly,,,,,,,,
Northern Sensation,2000/05/31,colt,1,0.0,North Colony,1990,4,0.0,Pleasant Colony,1978
Personal Legend,2000/01/29,filly,99,12.5,Highland Legend,1991,93,3.1,Storm Bird,1978
Polebridge,2000/03/09,colt,31,0.1,Hip Wolf,1994,89,3.1,Northern Wolf,1986
Post Its Awesome,2000/05/10,gelding,75,1.0,Post It,1992,91,8.6,Notebook,1985
Regently Bold,2000/02/20,filly,90,2.3,Jenepher,1992,,,Seattle Slew,1974
Reload,2000/03/31,filly,,,,,,,,
Riverkeeper,2000/03/07,filly,,,,,,,,
Rock Again,2000/02/23,gelding,91,9.0,Track Gal,1991,93,18.0,Track Barron,1981
Rolling Benz,2000/03/03,gelding,69,1.5,Fighting Jet,1990,97,6.9,Copelan,1980
Roman Centurion,2000/02/29,colt,35,0.3,Romanette,1982,97,6.8,Alleged,1974
Rousing Again,2000/04/24,filly,91,2.7,Rousing,1985,80,1.1,Alydar,1975
Scarlet Fire,2000/03/26,filly,,,,,,,,
Sensational Again,2000/02/08,filly,,,,,,,,
Smart Again,2000/01/20,colt,94,0.7,Bye the Bye,1984,93,2.6,Balzac,1975
Snorter,2000/01/29,colt,,,,,,,,
Socially Smart,2000/03/15,gelding,,,,,,,,
Still Awesome,2000/04/23,filly,,,,,,,,
Strictly Business,2000/04/22,gelding,79,1.2,Lets Do Lunch,1985,99,13.7,Royal Roberto,1979
Sunny Again,2000/03/26,filly,,,,,,,,
Symmetron,2000/02/13,colt,94,4.3,Valid Symmetry,1992,96,5.7,Valid Appeal,1972
Toccet,2000/05/02,colt,,,,,,,,
Triple J,2000/03/02,filly,75,1.1,Triple Strike,1986,99,13.8,Secretariat,1970
Tyne,2000/03/03,filly,74,2.6,Banantyne,1996,,,Meadowlake,1983
Wonderously,2000/03/22,filly,,,,,,,,
Unnamed,2001/03/10,filly,,,,,,,,
Alive Again,2001/03/12,gelding,,,,,,,,
Amazing Again,2001/05/04,colt,72,1.8,Crystal Shard,1994,,,Mr. Prospector,1970
Anew,2001/02/20,gelding,89,5.2,Lucinda,1994,92,2.9,Olympio,1988
Atago Taiyo,2001/02/28,colt,16,0.1,Windy Mindy,1987,86,3.0,Honey Jay,1968
Awe Cheryl,2001/01/15,filly,,,,,,,,
Awesomatic,2001/05/11,filly,,,,,,,,
Awesome Alarm,2001/01/25,gelding,70,0.9,Belle de Soleil,1993,95,4.9,Darn That Alarm,1981
Awesome Anew,2001/01/16,filly,57,0.6,Aisle Seeya,1995,81,1.4,Gulch,1984
Awesome Appeal,2001/04/24,gelding,12,0.1,Appealing Phylly,1996,93,7.5,West by West,1989
Awesome Deduction,2001/03/28,filly,,,,,,,,
Awesome Drive,2001/04/07,colt,,,,,,,,
Awesome Emily,2001/04/06,filly,,,,,,,,
Awesome Honor,2001/03/27,gelding,85,2.4,Vivacious Suzi,1994,91,3.5,Once Wild,1985
Awesome Joy,2001/02/16,filly,,,,,,,,
Awesome Kate,2001/04/18,filly,57,0.7,Silver Dollar Kate,1993,47,0.3,Green Dancer,1972
Awesome Lass,2001/05/25,filly,,,,,,,,
Awesome Love,2001/02/28,colt,,,,,,,,
Awesome Miss (FR),2001/02/27,filly,,,,,,,,
Awesome Reality,2001/02/22,filly,,,,,,,,
Awesome Takeover,2001/04/18,filly,52,0.6,On the Tree Top,1993,94,3.8,Tasso,1983
Awesome Thrill,2001/04/19,filly,,,,,,,,
Awesome Will,2001/05/01,filly,,,,,,,,
Awesomebabyawesome,2001/04/20,gelding,28,0.2,Takeover Target,1986,89,2.2,Nodouble,1965
Awesomely,2001/05/02,filly,23,0.1,Phone the Doctor,1992,98,9.2,Phone Trick,1982
Awesomeness,2001/05/03,filly,84,2.7,Glory in Motion,1994,78,7.8,Broad Brush,1983
Awesomewithbroads,2001/03/23,gelding,84,1.6,Aggressive Broad,1995,86,2.3,Broad Brush,1983
Awestruck,2001/03/14,colt,14,0.0,My Heart Sez Yes,1994,91,3.8,Sezyou,1978
Billow Time,2001/05/01,colt,4,0.1,Voluptuous,1990,89,3.0,Cozzene,1980
Bold Prediction,2001/02/19,colt,,,,,,,,
Cajun Dawn,2001/04/05,filly,33,0.3,Pat's Reward,1990,82,1.2,Copelan,1980
Call Me Awesome,2001/01/29,colt,,,,,,,,
Carib Gal,2001/04/08,filly,,,,,,,,
Cheers Again,2001/05/28,filly,13,0.1,Yanks Music,1993,99,49.5,Air Forbes Won,1979
Classy Again,2001/04/27,filly,,,,,,,,
Coyote Fast,2001/04/09,gelding,71,1.3,Raise a Carter,1990,86,1.8,Dr. Carter,1981
Cupid's Arrow,2001/05/07,filly,90,2.4,Cupids Revenge,1994,92,5.5,Red Ransom,1987
Dashing Deputy,2001/02/01,gelding,48,0.8,Ms. Copelan,1989,91,2.7,Copelan,1980
Encore Encore,2001/03/30,filly,42,0.3,Honolulu Honey,1985,93,5.8,*Hawaii,1964
Enterprise Coast,2001/02/16,filly,47,0.4,Eye Catching,1991,94,3.4,Alydar,1975
Etiquette,2001/02/24,filly,,,,,,,,
Europe Again,2001/03/18,filly,58,0.8,Europa,1984,,,Medieval Man,1974
Expressly,2001/03/03,filly,10,0.0,Rapid Selection,1993,92,5.0,Sabona,1982
Final Marriage,2001/03/01,filly,,,,,,,,
Halo Awesome,2001/04/30,colt,11,0.1,Cathy's Halo,1987,71,0.9,Devil's Bag,1981
Hillside Dreamer,2001/02/24,colt,48,0.7,Nikita Moon,1996,28,0.1,Secret Hello,1987
I'm Awesome,2001/04/16,gelding,1,0.0,Valid Dorothy,1996,91,3.7,Valid Appeal,1972
I'm Awesome Again,2001/03/03,gelding,67,1.0,Imaglee,1978,11,0.0,*Grey Dawn II,1962
Improper Again,2001/05/01,colt,,,,,,,,
Jennie R.,2001/04/11,filly,,,,,,,,
Justa Lil Awesome,2001/02/14,filly,1,0.0,Gratify,1996,92,2.9,Miswaki,1978
Kaysome,2001/05/21,filly,64,0.7,McKaymackenna,1989,98,13.3,Ends Well,1981
Monsieur Julian,2001/04/24,colt,34,0.1,Missy Day,1994,98,7.8,Dayjur,1987
Mr. Awesome,2001/01/23,gelding,40,0.3,Holywood Picture,1996,96,5.3,Holy Bull,1991
Mucho Amo,2001/02/09,colt,,,,,,,,
Not Acclaim,2001/05/08,gelding,89,3.1,Eurobid,1993,74,1.1,Expensive Decision,1986
Orange Power,2001/05/18,colt,45,0.4,A Dream Above,1986,94,3.8,Great Above,1972
Pink Champagne,2001/03/29,filly,58,3.6,Turkappeal,1993,95,4.9,Turkoman,1982
Plectrum,2001/03/12,colt,86,2.4,Berceau,1989,97,5.2,Alleged,1974
Poker Game,2001/03/22,gelding,75,1.6,Stormy Blues,1992,98,24.9,Cure the Blues,1978
Precious Again,2001/02/12,filly,,,,,,,,
Presentation (JPN),2001/01/01,filly,18,0.0,Lady Telluride,1997,,,A.P. Indy,1989
Prince Awesome,2001/04/15,colt,1,0.0,Pure Red,1993,88,2.2,Thirty Six Red,1987
Queen Kennelot,2001/05/17,filly,1,0.0,Le Grand Epic,1987,,,Danzig,1977
Rockin' Again,2001/02/11,gelding,56,0.8,Touch Dial,1996,99,17.9,Phone Trick,1982
Royal Force,2001/02/06,gelding,47,0.5,Indy Ama,1994,85,1.8,A.P. Indy,1989
Rumor Has It,2001/05/13,gelding,81,4.4,Garden Secrets,1992,68,1.8,Time for a Change,1981
Supah Sensation,2001/05/04,filly,95,3.8,Supah Gem,1990,97,13.2,Gold Meridian,1982
Thunder Fox,2001/05/03,gelding,79,1.6,Astas Foxy Lady,1991,96,12.6,Zuppardo's Prince,1976
Thunder Wolf,2001/04/22,gelding,67,5.8,Blazing Hot,1993,80,6.9,Irish River (FR),1976
Total Wonder,2001/04/10,filly,,,,,,,,
Up and Again,2001/01/19,filly,44,0.5,Up an Eighth,1991,97,5.9,Ferdinand,1983
Valid Again,2001/01/22,gelding,59,1.1,Valid Way,1991,61,0.8,Valid Appeal,1972
Vallelunga,2001/04/01,gelding,47,0.5,Brushing Gloom,1992,98,14.5,Broad Brush,1983
Viola Pomposa (JPN),2001/01/01,colt,,,,,,,,
Zikra Alhabeeb (KSA),2001/01/01,filly,0,0.1,Maureen's Hope,1995,96,4.5,Northern Baby,1976
Unnamed,2002/01/30,filly,,,,,,,,
Ahead Again,2002/04/15,gelding,9,0.1,Hot Lear,1995,98,6.7,Lear Fan,1981
Aristocrat,2002/02/24,colt,,,,,,,,
Attract Some Awe,2002/03/31,filly,,,,,,,,
Awesome Avie,2002/01/11,filly,15,0.1,Avies Covergirl,1991,89,2.7,Avies Copy,1984
Awesome Buddy,2002/01/27,colt,,,,,,,,
Awesome Deputy,2002/05/22,filly,,,,,,,,
Awesome Doe,2002/03/02,filly,54,0.5,Roobels,1993,,,Buckaroo,1975
Awesome Exchange,2002/04/10,filly,84,2.1,Copelan's Exchange,1994,41,0.2,Copelan,1980
Awesome Graf,2002/03/20,gelding,,,,,,,,
Awesome Hazel,2002/02/19,filly,,,,,,,,
Awesome Jet,2002/03/24,colt,,,,,,,,
Awesome Lois,2002/03/15,filly,41,0.4,Maiden Fair,1994,90,4.4,Cahill Road,1988
Awesome Olive,2002/03/07,filly,,,,,,,,
Awesome Pro,2002/01/30,gelding,52,0.7,Fickle Fate,1994,88,4.0,Majestic Light,1973
Awesome Rock,2002/05/13,filly,67,1.0,Ayers Rock,1994,92,3.3,Slew the Knight,1986
Awesome Sign,2002/02/24,colt,63,1.1,Hekeepsmesinging,1997,,,Dixieland Band,1980
Awesome Spirit,2002/05/04,colt,,,,,,,,
Awesome Tequila,2002/05/06,colt,,,,,,,,
Awesome Twist,2002/05/06,colt,97,6.2,Twist Afleet,1991,99,25.6,Afleet,1984
Awesome Venture,2002/04/07,colt,59,0.6,Forever Land,1989,84,5.2,Badger Land,1983
Awesome Victory,2002/05/06,filly,,,,,,,,
Ball Girl,2002/02/06,filly,,,,,,,,
Bratislava,2002/03/08,filly,87,2.2,Russian Tango,1990,95,4.8,Nijinsky II,1967
Canadian Cougar,2002/02/04,gelding,47,0.4,Scholars Studio,1996,94,12.6,Bertrando,1989
Cherry Sweet,2002/01/01,filly,,,,,,,,
Comealong,2002/04/25,gelding,30,0.2,Dark Hours,1992,96,7.5,Dynaformer,1985
Dangerous Guy,2002/02/17,gelding,71,1.0,Swift and Classy,1991,99,14.1,Clever Trick,1976
Diane Again,2002/04/17,filly,67,0.9,Dianes Halo,1991,99,13.8,Sunny's Halo,1980
Discreetly Awesome,2002/04/12,filly,,,,,,,,
Dubai Escapade,2002/05/10,filly,85,23.0,Sassy Pants,1992,96,6.9,Saratoga Six,1982
Duke of London,2002/04/20,gelding,,,,,,,,
Eishin Newton,2002/04/03,colt,70,3.9,Good Response,1988,89,9.5,Relaunch,1976
Extra Exclusive,2002/02/17,gelding,84,2.0,Prominent Feather,1989,97,6.1,Lear Fan,1981
Financial Times,2002/03/18,colt,,,,,,,,
Formalities Aside,2002/03/09,filly,75,1.5,Well Dressed,1997,96,5.0,Notebook,1985
Freeway Fun,2002/04/28,filly,,,,,,,,
Glasnost,2002/04/10,colt,,,,,,,,
Goofball,2002/02/27,gelding,56,0.4,Letting Loose,1994,91,2.4,Silver Hawk,1979
Guildhall,2002/04/16,gelding,59,0.5,Earth Song,1985,27,0.1,The Minstrel,1974
Hapster,2002/05/08,filly,75,1.2,Scivolina,1994,,,Slew o' Gold,1980
Hillbilly Bandit,2002/01/31,colt,,,,,,,,
King Attila,2002/03/09,colt,,,,,,,,
King Mustang,2002/02/13,gelding,47,0.5,Feeling Easy,1993,91,2.4,Easy Goer,1986
Magoo's Magic,2002/02/19,colt,,,,,,,,
Mantova Run,2002/01/18,filly,83,2.0,Tassa,1994,95,6.3,Tasso,1983
Maybe for Sure,2002/01/05,filly,,,,,,,,
Mister Bigwig,2002/02/04,gelding,,,,,,,,
Najib,2002/03/01,colt,64,0.8,Heartful Star,1982,92,2.5,Star de Naskra,1975
Naked Again,2002/01/24,gelding,48,0.5,Naked Glory,1990,93,4.2,Naked Sky,1977
Perfectly Awesome,2002/01/31,filly,70,1.0,Perfect Night,1991,86,2.4,Taylor's Falls,1973
Phantom Physics,2002/03/01,gelding,16,0.1,Rivermorn,1992,32,0.1,Riverman,1969
Repeat Again,2002/02/25,filly,28,0.5,Pete's Heiress,1996,,,Peteski,1990
Reregister,2002/04/08,filly,7,0.1,Register,1992,,,Mari's Book,1978
Round Pond,2002/05/21,filly,99,59.3,Gift of Dance,1989,80,1.3,Trempolino,1984
Roxy Blue,2002/04/28,filly,,,,,,,,
Spun Sugar,2002/01/28,filly,98,26.9,Irish Cherry,1994,96,5.6,Irish Open,1984
Struck Again,2002/04/10,gelding,43,0.3,Wild Lightning,1991,97,8.3,Wild Again,1980
Upwardly Mobile,2002/04/28,filly,,,,,,,,
Virgil Q,2002/04/09,gelding,53,0.9,North Lake Jane,1997,98,8.5,Meadowlake,1983
Welcome Again,2002/03/11,gelding,89,4.3,Alda's Will,1993,77,1.2,Gallapiat,1973
Wilko,2002/01/13,colt,,,,,,,,
Win Again,2002/04/15,gelding,75,1.3,Valid Approval,1993,96,4.7,Valid Appeal,1972
Windbreak,2002/02/20,colt,,,,,,,,
Wishin Magician,2002/01/18,colt,24,0.2,Magical Maiden,1989,98,28.2,Lord Avie,1978
Xtra Awesome,2002/02/08,colt,41,0.4,Woofy,1994,97,5.4,Wolf Power (SAF),1978
A. J. Awesome,2003/05/17,colt,73,1.2,Powerful Nation,1994,89,3.1,Turkoman,1982
Above Spirit,2003/02/09,gelding,81,2.2,Pure Red,1993,88,2.2,Thirty Six Red,1987
All Smiles,2003/05/18,filly,,,,,,,,
Alliteration,2003/04/17,colt,,,,,,,,
American Sound,2003/05/13,filly,,,,,,,,
Angle of Attack,2003/02/03,colt,68,1.0,Beguiled,1995,89,2.8,Relaunch,1976
Awesome Attitude,2003/02/08,gelding,81,1.8,Mad 'bout You,1993,88,2.3,Skip Trial,1982
Awesome Bear,2003/03/31,filly,55,0.5,Lucky Marty,1993,94,3.6,Fortunate Prospect,1981
Awesome Cali,2003/03/31,filly,64,1.9,Calistay,1988,92,2.9,Spend a Buck,1982
Awesome Empress,2003/02/02,filly,,,,,,,,
Awesome Enough,2003/02/04,colt,17,0.1,Snowberg,1995,98,10.9,Seattle Sleet,1990
Awesome Eve,2003/03/13,filly,,,,,,,,
Awesome Gem,2003/02/06,gelding,,,,,,,,
Awesome Guy,2003/05/11,gelding,37,0.4,Briar Road,1991,93,6.6,Proper Reality,1985
Awesome Idea,2003/02/18,colt,57,0.8,Miz United States,1997,92,9.6,Valid Appeal,1972
Awesome Jared,2003/02/07,gelding,76,1.4,Mary's Silver Pen,1997,94,3.7,Dawn Quixote,1987
Awesome Richard,2003/04/28,gelding,52,0.6,Red Royal,1995,84,2.1,Red Ransom,1987
Awesome Silence,2003/02/04,gelding,24,0.2,Evening Hush,1995,98,6.2,Saint Ballado,1989
Awesome Way,2003/02/18,colt,42,0.5,Little Miss Fast,1993,83,4.3,Premiership,1980
Badlander,2003/04/30,gelding,61,0.5,Season's Flair,1993,95,4.2,D'Accord,1979
Bear Rock,2003/04/11,gelding,63,0.8,Great Looking Miss,1993,86,1.8,Great Above,1972
Black Cherry,2003/04/16,filly,,,,,,,,
Brilliant Rose,2003/03/05,filly,,,,,,,,
Bug a Boo Ben,2003/02/02,colt,,,,,,,,
Capelia,2003/02/14,filly,60,1.0,Blanca Delia,1995,79,1.7,Darn That Alarm,1981
Capricornio,2003/03/24,gelding,11,0.1,Lazer Eye,1997,80,3.5,Holy Bull,1991
Caramel Candy,2003/05/09,filly,,,,,,,,
Cotton King,2003/03/04,colt,80,2.5,Lake Leman,1995,1,0.0,Meadowlake,1983
Exotic Bird,2003/04/17,filly,,,,,,,,
Flying Skipper,2003/04/25,filly,,,,,,,,
Ginger Punch,2003/04/23,filly,98,51.1,Nappelon,1992,95,5.8,Bold Revenue,1984
Hardballer,2003/04/25,gelding,,,,,,,,
Harmonicus,2003/04/15,gelding,90,2.3,Meadow Melody,1997,98,7.3,Meadowlake,1983
Ida M,2003/05/13,filly,29,0.3,Royal Halo,1997,98,6.9,Jolie's Halo,1987
Issues,2003/05/04,filly,91,3.0,Darlin Echo,1996,78,2.1,Eastern Echo,1988
Kascha,2003/03/21,filly,63,0.8,Black Icon,1995,,,Mining,1984
Midway Man,2003/03/25,gelding,87,2.1,Family Silver,1996,,,Silver Hawk,1979
Mightiness,2003/03/27,colt,,,,,,,,
Morning Jewel,2003/03/26,filly,,,,,,,,
Nora Charles,2003/03/19,filly,,,,,,,,
Oh So Awesome,2003/01/21,gelding,,,,,,,,
On Board Again,2003/02/04,colt,,,,,,,,
Playing to Win,2003/05/02,gelding,,,,,,,,
Plum Awesome,2003/03/19,filly,,,,,,,,
Quartango,2003/02/03,gelding,,,,,,,,
Racketeer,2003/03/05,gelding,,,,,,,,
Red Damask,2003/02/05,filly,78,2.2,Top of the League,1998,95,4.0,Lite the Fuse,1991
Remos,2003/02/16,gelding,27,0.2,Holywood Picture,1996,96,5.3,Holy Bull,1991
Rescue Mission,2003/01/18,filly,,,,,,,,
Rock Rose,2003/03/01,filly,,,,,,,,
Royal Attire,2003/02/21,gelding,,,,,,,,
Ruled,2003/04/03,gelding,52,0.5,Hishi Nile,1994,81,2.6,A.P. Indy,1989
San Luis,2003/01/31,colt,0,0.5,Indy Queen,1998,40,0.3,A.P. Indy,1989
Shim's Pride,2003/05/05,gelding,86,3.0,Shiroyama,1996,,,Seattle Slew,1974
Smooth Brandy,2003/03/26,filly,6,0.0,Royal Corona,1998,94,4.5,Holy Bull,1991
