Name,Year,Sex,SPR,CPI,Dam Name,Dam Year,Dam SPR,Dam CPI,Dam Sire Name,Dam Sire Year
Z Maitre D,2010/01/17,gelding,49,0.7,Hostess,2003,89,6.5,Chester House,1995
Againsome,2011/03/24,gelding,62,1.0,Orate,2004,71,1.1,A.P. Indy,1989
Albertown,2011/04/09,gelding,78,1.5,Financingavailable,2001,99,18.5,Kiridashi,1992
Amazing Bets,2011/05/05,filly,54,0.9,Beautiful Bets,2000,90,4.1,Alphabet Soup,1991
Amazing Carina (BRZ),2011/03/28,filly,,,,,,,,
Athos (AUS),2011/09/22,gelding,53,0.5,Wild Soiree,2007,1,0.0,Fusaichi Pegasus,1997
Awesome Alpha,2011/02/05,filly,24,0.2,Alpha Heat,1999,95,8.3,Alphabet Soup,1991
Awesome Angel,2011/05/19,colt,,,,,,,,
Awesome Baby,2011/03/05,filly,86,10.9,Miss Attractive,2002,93,6.5,Running Stag,1994
Awesome Bill,2011/02/19,gelding,69,1.0,Cozy Gain,2002,85,2.3,Cozzene,1980
Awesome Carver,2011/03/24,gelding,9,0.1,A B C Amanda,1999,,,Alphabet Soup,1991
Awesome Dawson,2011/04/25,gelding,80,1.5,Stormy Gal,1994,93,3.1,Storm Cat,1983
Awesome Electric,2011/02/07,filly,,,,,,,,
Awesome Houdini,2011/04/07,filly,76,1.3,Houdini's Honey,1996,84,4.5,Mr. Prospector,1970
Awesome Lassie,2011/04/29,filly,83,1.8,Dynamite Lass,2002,97,5.8,Dynaformer,1985
Awesome Rebound,2011/02/02,gelding,5,0.0,Jane's the Name,1998,,,Trempolino,1984
Awesome Rush,2011/03/30,gelding,,,,,,,,
Awesome Secret,2011/02/10,filly,56,0.6,Karakorum Starlet,2003,93,6.5,Skip Away,1993
Awesome Selena,2011/04/19,filly,55,0.8,Lady Hillingdon,2005,95,5.0,Vindication,2000
Awesome Surfer Gal,2011/03/01,filly,7,0.0,Malibu Beach,2006,85,7.8,Tapit,2001
Awesome Venture,2011/04/18,gelding,,,,,,,,
Beetlebomb,2011/05/06,gelding,61,0.8,My American Girl,1998,74,0.9,Quiet American,1986
Bella Bianca,2011/04/23,filly,89,2.6,Whitewater Way,2000,85,2.1,Skip Away,1993
Black Ice,2011/03/27,gelding,45,0.6,Frost Princess,2002,86,2.0,Waquoit,1983
Black Summer,2011/05/12,filly,1,0.0,Summer Home,1992,98,9.0,Easy Goer,1986
C J's Awesome,2011/01/20,gelding,85,2.5,C J's Leelee,2005,98,7.1,Mizzen Mast,1998
Collapse,2011/05/27,gelding,16,0.1,Awesome Glory,2001,91,3.1,Honour and Glory,1993
Company Secretary,2011/04/30,colt,25,0.2,Maria Elena,2004,,,El Prado (IRE),1989
Coraggio,2011/04/19,gelding,,,,,,,,
Dr. Dan Jr.,2011/02/16,gelding,1,0.0,Expanse,1997,79,2.2,Distant View,1991
Expect a Lot,2011/04/19,colt,,,,,,,,
French Perfume,2011/03/10,filly,,,,,,,,
Frozen Rope (JPN),2011/02/17,colt,67,3.2,Bel Air Sizzle,2005,91,6.1,Unusual Heat,1990
Ground Control,2011/03/05,gelding,,,,,,,,
Helena Hurry,2011/03/19,gelding,44,0.5,Helena Handbasket,2006,74,1.2,Red Bullet,1997
Honest Dude,2011/04/26,gelding,83,1.6,Hartfelt,2005,76,3.0,Kafwain,2000
Honey Again,2011/01/20,gelding,16,0.4,Honey Grove,1998,59,0.5,Gilded Time,1990
Lana's Pretty Girl,2011/04/11,filly,,,,,,,,
Little Miss Flurry,2011/02/14,filly,,,,,,,,
More Than a Game,2011/01/20,colt,,,,,,,,
Not Again,2011/05/18,filly,,,,,,,,
Ok Zhetpes,2011/03/31,colt,,,,,,,,
Patys Surprise (CHI),2011/02/20,filly,42,0.7,Pattisunbridledcat,2006,66,1.1,Unbridled's Song,1993
Premium Rush,2011/05/10,gelding,,,,,,,,
Real Fight (KOR),2011/04/25,filly,,,,,,,,
Rihanna (VEN),2011/05/16,filly,,,,,,,,
Roman Saga,2011/03/07,filly,,,,,,,,
Sarbi,2011/02/19,filly,53,0.7,Hattiesburg,1998,98,8.8,Mutakddim,1991
Sequiota,2011/04/30,filly,79,1.5,Transition Time,1999,81,4.1,Dynaformer,1985
She's Just Awesome,2011/02/24,filly,,,,,,,,
Silver Pigeon,2011/04/25,filly,,,,,,,,
Sioux,2011/03/21,colt,86,3.4,Andraste,2006,12,0.2,Pulpit,1994
Slewpy Again,2011/01/28,colt,,,,,,,,
So Lonesome,2011/03/31,gelding,98,7.7,Dash for Money,2000,90,3.0,General Meeting,1988
Something Awesome,2011/04/11,gelding,91,14.7,Somethinaboutlaura,2002,97,14.1,Dance Floor,1989
Spelling Again,2011/04/15,filly,97,6.9,Spelling,1999,95,4.1,Alphabet Soup,1991
St. Francis Bay,2011/02/11,colt,,,,,,,,
Tax Enough,2011/05/25,gelding,27,0.2,Unbridled Ambiance,2004,86,2.2,Unbridled Time,1998
Three Way Ticket,2011/02/03,filly,,,,,,,,
Transfer Fee,2011/03/10,filly,,,,,,,,
Trespass,2011/02/16,gelding,34,0.3,Lil E Rose,2002,80,1.8,Lil E. Tee,1989
Untamable Heart,2011/02/20,filly,,,,,,,,
Updraft,2011/04/02,gelding,35,0.3,Ajina,1994,99,39.7,Strawberry Road (AUS),1979
Zoom Zoom Zoom,2011/03/01,colt,,,,,,,,
Unnamed,2012/02/27,colt,,,,,,,,
A. Rod Again,2012/01/23,colt,,,,,,,,
Achim Dongsan (KOR),2012/02/15,filly,,,,,,,,
Adapt,2012/04/21,filly,,,,,,,,
Alzakhem (KSA),2012/03/05,colt,0,1.3,Sudsy Baby,2003,90,3.8,Lite the Fuse,1991
Awesome Addback,2012/04/25,gelding,30,0.3,Bonita Meadow,1993,98,8.4,Meadowlake,1983
Awesome Bond,2012/02/22,gelding,,,,,,,,
Awesome Dove,2012/03/17,filly,24,0.2,Dance With Doves,2004,95,4.9,A.P. Indy,1989
Awesome Elle,2012/05/27,filly,73,1.1,Irish Cherry,1994,96,5.6,Irish Open,1984
Awesome Girl,2012/03/15,filly,4,0.0,Langano,1998,92,3.3,Private Terms,1985
Awesome Kiawah,2012/03/25,gelding,21,0.2,Kiawah's Magic,2005,76,2.8,Grand Slam,1995
Awesome Marchesa,2012/02/01,filly,81,2.6,My Marchesa,1990,95,4.1,Stately Don,1984
Awesome Ocean,2012/02/25,gelding,,,,,,,,
Awesome Player,2012/02/21,colt,,,,,,,,
Awesome Pretty,2012/02/27,filly,,,,,,,,
Awesome Prizes,2012/04/10,gelding,35,0.4,Prizes,1997,85,1.9,Prized,1986
Awesome Quick,2012/03/14,filly,82,1.7,Bettarun Fast,2003,88,5.8,Kelly Kip,1994
Awesome Singer,2012/03/28,filly,88,2.9,Street Singer,2005,45,0.5,Street Cry (IRE),1998
Awesome Song,2012/04/05,filly,80,2.1,Song of Solomon,2006,91,4.5,Unbridled's Song,1993
Awesome Sting,2012/04/24,gelding,57,0.7,Wicked Sting,2006,,,Devil His Due,1989
Awesome Sunrize,2012/04/11,filly,,,,,,,,
Awesome Tracy,2012/03/16,filly,,,,,,,,
Awesome Traum,2012/02/06,gelding,46,0.7,Traum,2006,,,Elusive Quality,1993
Awesome Trip,2012/04/05,filly,,,,,,,,
Awestruck Again,2012/04/20,filly,47,0.5,Moon Catcher,2004,93,14.2,Malibu Moon,1997
Back in the Fold,2012/05/06,filly,,,,,,,,
Bears Personality,2012/02/26,colt,70,2.0,Yearly Attitude,2002,95,5.8,Event of the Year,1995
Beeswacker,2012/04/29,filly,,,,,,,,
Bettyng On Lucy,2012/04/05,filly,,,,,,,,
Coxswain,2012/04/17,gelding,,,,,,,,
Doyouknowsomething,2012/01/22,gelding,,,,,,,,
Dream It Again,2012/02/09,gelding,89,2.1,Redreamit,2006,75,2.5,Tapit,2001
Dunbrody,2012/02/13,colt,94,3.1,Zaraffa,2007,36,0.3,Mizzen Mast,1998
Fast Again,2012/03/24,colt,,,,,,,,
Fireman's Carry,2012/04/01,filly,23,0.2,Darling Temper,2003,67,1.0,Point Given,1998
Flying Again,2012/04/29,gelding,30,0.3,Casperina,2003,,,Golden Missile,1995
Flying Nimbus,2012/03/07,filly,87,6.3,Ryan's Inheritance,2004,57,0.7,Valid Expectations,1993
French Bride,2012/04/03,filly,40,0.5,Mamselle Aries,2003,90,2.6,Artax,1995
Galley Beach,2012/02/23,filly,46,0.5,Gatorette,2006,97,5.1,Distorted Humor,1993
Ice Festival,2012/02/12,filly,84,4.4,Phil's Pill,2001,80,1.4,Cozzene,1980
Komo (KSA),2012/01/27,filly,0,0.5,Madame Pietra,1997,92,13.4,Roy,1983
Life's Fortune,2012/04/11,gelding,1,0.0,Life in Seattle,1998,93,3.1,Unbridled,1987
Luxurious,2012/02/06,filly,,,,,,,,
Magnifier,2012/02/07,gelding,85,2.1,Lindsay Frolic,1992,99,10.9,Mt. Livermore,1981
Me Mouse,2012/04/06,filly,,,,,,,,
Microburst,2012/02/03,filly,61,0.8,Goldfield,2008,,,Yes It's True,1996
Mission Driven,2012/02/13,gelding,81,2.3,Archstone,2003,87,2.1,Arch,1995
My Daddy's Awesome,2012/03/15,filly,18,0.2,Indivia,2004,87,2.5,Tiznow,1997
My Sweet Lady (TUR),2012/04/03,filly,,,,,,,,
Oshie,2012/04/13,gelding,,,,,,,,
Overawe,2012/04/13,gelding,81,1.5,Joyful,2005,89,2.5,Distorted Humor,1993
Pasamonte,2012/03/22,gelding,34,0.3,La Mandonna,2004,69,1.3,El Corredor,1997
Poker Champ,2012/03/26,gelding,,,,,,,,
Princeps (KOR),2012/02/13,colt,,,,,,,,
Purring Again,2012/05/03,gelding,18,0.1,One Quiet Cat,2003,90,3.3,Catienus,1994
Rollie Mass,2012/05/20,gelding,60,0.8,Brink,1994,84,2.3,Forty Niner,1985
Runaway Dude,2012/01/30,gelding,46,0.5,Ariege,2005,87,14.7,Doneraile Court,1996
Simplicityizgenius,2012/03/16,gelding,38,0.4,Royal Ancestry,2008,40,0.4,Distorted Humor,1993
Smile Goot Luck,2012/03/05,colt,,,,,,,,
St. Reno,2012/05/04,gelding,80,1.3,Ms. Deep Pockets,1996,94,4.0,Buckaroo,1975
Starship Awesome,2012/04/09,filly,45,0.5,Meadow Vista,1995,95,4.6,Meadowlake,1983
Tartarus,2012/03/15,gelding,,,,,,,,
Titan,2012/02/08,colt,71,1.7,Marimba Rhythm,2002,87,4.1,Golden Missile,1995
Trending Topic,2012/01/27,colt,,,,,,,,
Twinkle Toes,2012/02/15,filly,65,1.1,Final Fling,2005,88,6.4,Bertrando,1989
Tyrrhenian,2012/03/01,colt,47,0.6,Shining Sea,2005,88,4.5,Stormy Atlantic,1994
Watusi,2012/03/17,filly,54,0.6,Haka,2006,96,5.5,Dynaformer,1985
Unnamed,2013/02/18,gelding,,,,,,,,
Adenai,2013/02/10,filly,,,,,,,,
American Pioneer,2013/03/12,gelding,,,,,,,,
Anna House,2013/04/05,filly,41,0.5,Sweet Charity,1999,76,1.9,A.P. Indy,1989
Appoggiatura,2013/05/13,gelding,4,0.0,Richer by Love,2000,,,Clever Trick,1976
Aunt Betty,2013/04/29,filly,45,0.5,R Betty Graybull,2006,96,6.8,Holy Bull,1991
Autumn King,2013/03/17,gelding,16,0.1,Dynamite Eyes,2004,76,1.6,Dynaformer,1985
Awesome Alibi,2013/04/22,filly,,,,,,,,
Awesome Anita,2013/03/27,filly,15,0.1,Fourth Power,2006,18,0.1,Cozzene,1980
Awesome Bird,2013/04/28,filly,17,0.1,Elusive Bird,2006,,,Elusive Quality,1993
Awesome Breeze,2013/02/17,filly,1,0.0,Just Breezing,2004,,,Golden Missile,1995
Awesome Colina,2013/04/14,filly,,,,,,,,
Awesome Dolly,2013/04/01,filly,7,0.1,Cozy Queen,2003,55,0.7,Cozzene,1980
Awesome Elaine,2013/03/02,filly,,,,,,,,
Awesome Gent,2013/04/17,gelding,92,3.0,Pawnee Patti,1994,95,3.8,Sir Richard Lewis,1987
Awesome K P,2013/05/20,gelding,49,0.5,Buck Trout's Niece,2001,70,1.0,Waquoit,1983
Awesome Mariner,2013/03/07,filly,13,0.1,Maritime Passion,2007,99,9.5,Stormy Atlantic,1994
Awesome Relic,2013/03/15,gelding,46,0.4,Royal Relic,2000,,,Colonial Affair,1990
Awesome Saint,2013/04/03,filly,10,0.1,Her Sweet Saint,2007,76,2.1,Sweetsouthernsaint,1995
Awesome Slew,2013/02/06,colt,,,,,,,,
Awesome Speed,2013/03/13,colt,85,4.2,Speedy Escape,2005,63,1.0,Aptitude,1997
Awesome Vacation,2013/02/11,gelding,,,,,,,,
Beginner's Luck,2013/03/06,filly,,,,,,,,
Butterfly Dance,2013/04/12,gelding,94,4.5,Scarlet Butterfly,2003,92,4.5,Theatrical (IRE),1982
C J's Gal,2013/01/29,filly,8,0.0,C J's Leelee,2005,98,7.1,Mizzen Mast,1998
Chalking It Up,2013/01/14,filly,47,0.6,Miss Fontana,2006,73,1.5,Classic Account,1985
Circuit Reboot,2013/03/10,filly,35,0.4,Sharp Current,2007,46,0.6,Tiznow,1997
Clever Again,2013/04/10,filly,71,1.3,Rich N Clever,2004,89,2.9,Richter Scale,1994
Coco as in Chanel,2013/04/21,filly,91,2.9,Surf N Sand,1999,94,8.1,Boston Harbor,1994
Code of Silence,2013/04/27,gelding,31,0.3,Tiz a Fantasy,2003,68,2.2,Tiznow,1997
Deputy Drama,2013/05/07,colt,0,0.5,Female Drama,2007,42,3.4,Indian Charlie,1995
Driven West,2013/04/22,colt,59,0.9,Abba Gold,1998,86,2.0,Devil's Bag,1981
Due Again,2013/02/27,colt,,,,,,,,
Fleeting Moment,2013/04/20,filly,,,,,,,,
Fliparoo,2013/04/22,colt,,,,,,,,
Goldstreak,2013/03/26,filly,40,0.4,Color of Gold,1996,,,Seeking the Gold,1985
Great Dane,2013/03/02,gelding,,,,,,,,
Harlan's Wonder (JPN),2013/02/08,filly,52,0.4,Harlan's Ruby,2008,95,4.4,Harlan's Holiday,1999
Honest Effort,2013/03/20,gelding,3,0.0,Dream Delight,2006,62,0.8,Unbridled's Song,1993
Irish Pleasure,2013/05/16,filly,,,,,,,,
Legs Like Betty,2013/05/14,filly,46,0.4,Legs Lawlor,2002,78,2.0,Unbridled,1987
Lucky Max,2013/05/23,filly,4,0.0,Quick Dream,1999,55,0.5,Jeune Homme,1990
Manitoulin,2013/03/17,gelding,93,5.3,Soaring Softly,1995,98,36.5,Kris S.,1977
Marty Montana,2013/03/02,gelding,,,,,,,,
Miss Jordana,2013/04/01,filly,20,0.2,Live Free Or Die,1999,83,2.6,Personal Flag,1983
My Awesome Mom,2013/03/17,filly,70,1.3,Dearest Trickski,2004,1,12.3,Proudest Romeo,1990
Mybabybabysbaby,2013/01/14,filly,1,0.0,My Baby Baby,2005,97,6.6,Bernstein,1997
Mystery Mix,2013/03/07,filly,28,0.2,Lovely Lil,2007,96,8.2,Tiznow,1997
Nurmi,2013/02/27,gelding,30,0.3,Miss Norman,2003,95,5.5,Artax,1995
Patriotic,2013/04/03,gelding,47,0.5,Free Flying Soul,2005,94,10.5,Quiet American,1986
Perceval,2013/03/05,gelding,20,0.2,Onenightin Beijing,2007,88,2.3,Indian Charlie,1995
Playa Grande,2013/04/24,filly,,,,,,,,
Rainbows Ahead,2013/04/30,filly,76,1.4,Van Lear Rose,2006,83,9.9,Stroll,2000
Redream,2013/01/27,gelding,,,,,,,,
Reignite,2013/02/15,filly,,,,,,,,
Royal Majestic,2013/02/22,gelding,11,0.1,Ginger Brew,2005,98,19.7,Milwaukee Brew,1997
Santa Teresa,2013/04/08,filly,,,,,,,,
Sapphire Spitfire,2013/02/16,filly,55,0.7,Sapphiresndiamonds,2005,71,1.3,Mineshaft,1999
Sarastro,2013/05/16,gelding,21,0.2,Honey Ryder,2001,97,38.3,Lasting Approval,1994
Scrutiny,2013/03/31,gelding,38,0.3,Skip a Dare,2000,17,0.0,Skip Away,1993
Seattle Affair,2013/04/01,gelding,78,2.3,Sunday Affair,2007,,,A.P. Indy,1989
Self Respect,2013/03/26,colt,44,0.4,French Park,2003,99,18.5,Ecton Park,1996
Silver Fin,2013/03/05,gelding,18,0.1,Malibu Beach,2006,85,7.8,Tapit,2001
Silver Reign,2013/05/28,filly,34,0.6,Silver Crown,2001,95,3.9,Distorted Humor,1993
Souper Awesome,2013/02/06,gelding,37,0.3,Im Out First,1993,93,4.4,Allen's Prospect,1982
Stand Guard,2013/01/29,gelding,70,1.0,North Cork,2001,71,0.9,Doneraile Court,1996
Thats Awe Mine,2013/02/07,filly,27,0.3,Entitled,2006,97,5.9,Vindication,2000
Tipit,2013/02/19,gelding,55,0.7,Redreamit,2006,75,2.5,Tapit,2001
Tonbo,2013/04/01,gelding,48,0.6,Miss Isella,2005,97,13.7,Silver Charm,1994
Winter,2013/02/25,filly,87,3.7,Down,2004,92,3.6,Mr. Greeley,1992
Yes Again,2013/03/04,filly,7,0.0,She's the General,2001,90,2.7,General Meeting,1988
Unnamed,2014/02/08,colt,,,,,,,,
Unnamed,2014/02/13,colt,,,,,,,,
Unnamed,2014/05/17,filly,,,,,,,,
Alpha Alpha,2014/03/13,colt,,,,,,,,
Always Pleasant,2014/06/05,filly,,,,,,,,
Anapa,2014/02/08,filly,45,0.5,Jen's Guinness R N,2007,39,0.4,Cee's Tizzy,1987
Awesome Blend,2014/03/25,gelding,,,,,,,,
Awesome Brave,2014/04/25,gelding,41,0.4,Fleet Goddess,2006,61,0.8,Holy Bull,1991
Awesome Elvera,2014/04/04,filly,,,,,,,,
Awesome Gal,2014/02/22,filly,75,1.6,Grecian Lover,2002,85,2.7,Friendly Lover,1988
Awesome Heights,2014/05/08,gelding,,,,,,,,
Awesome Mil,2014/02/08,gelding,24,0.2,Sweet N Sour Nina,2007,91,4.2,Sweetsouthernsaint,1995
Awesome Nona,2014/03/16,filly,36,1.1,Heavenly Bliss,2008,,,Holy Bull,1991
Awesome Rekha,2014/01/22,filly,59,0.7,Trip for A. J.,2007,95,6.8,Trippi,1997
Awesome River,2014/04/28,filly,73,1.5,Hartfelt,2005,76,3.0,Kafwain,2000
Awesome Sugar,2014/02/04,filly,,,,,,,,
Bel Canto,2014/01/28,filly,32,0.3,Le Marais,2003,27,0.2,Unbridled's Song,1993
Believe Again,2014/03/20,filly,,,,,,,,
Big Again (DOM),2014/01/01,colt,,,,,,,,
Blind Pool,2014/02/24,filly,78,2.2,Taboo,2007,54,1.5,Forestry,1996
Blitz and Glamour,2014/03/14,filly,,,,,,,,
Bobby G,2014/04/22,gelding,78,2.3,Moon Catcher,2004,93,14.2,Malibu Moon,1997
Bourgeois,2014/03/01,filly,71,1.1,Enthalpy,2009,37,0.3,Bluegrass Cat,2003
Brave Request,2014/02/23,gelding,36,0.4,Latin Lashes,2008,47,1.0,Stormy Atlantic,1994
Bubbly Again,2014/02/01,filly,,,,,,,,
Cabelery,2014/03/19,gelding,31,0.2,It's Tea Time,2007,92,7.5,Dynaformer,1985
Classic Force,2014/04/10,gelding,40,0.4,Fifth Overture,2001,80,6.3,Pulpit,1994
Combat Controller,2014/03/25,gelding,75,1.4,Redreamit,2006,75,2.5,Tapit,2001
Conquest Assassin,2014/05/15,gelding,29,0.3,North East Belle,1999,49,0.4,Beau Genius,1985
Cruzin With Pachi,2014/02/26,gelding,15,0.1,Hollywood Reckless,2008,79,2.1,Tiznow,1997
Double A,2014/03/25,gelding,44,0.4,Lauren's Tizzy,2003,88,3.1,Tiznow,1997
Everglow,2014/02/02,gelding,37,0.4,Brave Destiny,2000,68,1.1,Quiet American,1986
Far From Awesome,2014/01/21,gelding,43,0.5,La Flamme,2009,15,0.1,Giant's Causeway,1997
Fifth Avenue Girl,2014/01/28,filly,16,0.1,Indy Verse,2005,,,A.P. Indy,1989
Gain Again,2014/04/03,filly,26,0.2,Cozy Gain,2002,85,2.3,Cozzene,1980
Garshie Marshie,2014/04/18,filly,16,0.1,See N Win,2006,73,1.5,Holy Bull,1991
Hard Knock Life,2014/03/06,gelding,28,0.2,Capeside Lady,2001,99,14.6,Cape Town,1995
Her Big Moment,2014/03/17,filly,43,0.5,Mama Nadine,2003,75,3.4,A.P. Indy,1989
Highland Point,2014/05/18,filly,,,,,,,,
Hoppin' Mad,2014/03/10,colt,13,0.1,Down,2004,92,3.6,Mr. Greeley,1992
Jalmolonga,2014/02/08,filly,75,0.6,Miss Fury,2003,80,1.7,Unbridled's Song,1993
Kasperina Bars (RUS),2014/04/26,filly,,,,,,,,
Land of Dixie,2014/05/07,gelding,35,0.4,Dixie's Hope,2007,86,2.7,Cozzene,1980
Princess Leia,2014/03/15,filly,62,0.9,Twisted Sis,2004,48,0.5,A.P. Indy,1989
Red Machine,2014/03/22,gelding,24,0.2,Nacho Polo,2007,,,A.P. Indy,1989
Remove the Limit (JPN),2014/03/19,gelding,27,0.1,Position Limit,2008,99,15.7,Bellamy Road,2002
Royal Insignia,2014/03/13,colt,,,,,,,,
Samjeong Again (KOR),2014/02/26,colt,,,,,,,,
Sealadysea,2014/01/29,filly,,,,,,,,
Signature Style,2014/04/08,filly,15,0.1,Her Sweet Saint,2007,76,2.1,Sweetsouthernsaint,1995
Silver Lion (KOR),2014/04/21,filly,,,,,,,,
Tequila Charley,2014/01/14,colt,,,,,,,,
There They Go,2014/01/30,gelding,56,0.6,Starship Angel,2006,94,5.7,Running Stag,1994
Titania (KOR),2014/04/05,filly,,,,,,,,
Tiz Again,2014/02/02,filly,3,0.0,Tizmania,2009,60,0.7,Tiznow,1997
Too Awesome,2014/02/07,gelding,28,0.5,Awesome Ashley,2004,91,4.3,Unbridled's Song,1993
Trap Game,2014/04/29,colt,39,0.4,Tizamazing,2002,,,Cee's Tizzy,1987
Trek,2014/03/08,gelding,35,0.3,Starship Cruiser,2003,93,4.6,Golden Missile,1995
Try Me Again,2014/06/07,gelding,43,0.4,Goldrush Girl,2009,91,3.1,Political Force,2003
Ubetimawesome,2014/04/04,filly,,,,,,,,
Wholehearted,2014/01/15,filly,83,2.1,My Baby Baby,2005,97,6.6,Bernstein,1997
