Name,Year,Sex,Dam Name,Dam Year,Dam SPR,Dam CPI,Dam Sire Name,Dam Sire Year
National,2008/04/19,gelding,Styler,1999,98,7.2,Holy Bull,1991
New Outlook,2008/05/05,colt,Tikkanita,2000,90,3.6,Cozzene,1980
Norma's Dream,2008/05/02,filly,Donna's Doll,2002,81,2.5,Pleasant Tap,1987
Patriot's Voyage,2008/05/19,colt,Forest Secrets,1998,98,13.7,Forest Wildcat,1991
Prospect Knight,2008/04/11,gelding,Skip Trial Miss,1997,79,1.5,Skip Trial,1982
Quilchena Park,2008/03/10,gelding,Storm Forcast,2002,83,1.9,Slew Gin Fizz,1991
Russian Tiger,2008/03/26,colt,Fluid Move,1994,88,2.8,Nureyev,1977
Saikyo Fast (JPN),2008/05/08,filly,Dulce Amor,2003,8,0.1,Cozzene,1980
Sra. Bella,2008/03/09,filly,Holy Way,1999,61,0.6,Holy Bull,1991
Stunning Split,2008/05/07,gelding,Split the Arrow,1999,84,1.7,Smart Strike,1992
Uncut Stone (IRE),2008/03/08,gelding,Suitably Discreet,1998,,,Mr. Prospector,1970
Warrens Heights,2008/02/12,gelding,She's Got Class,1997,12,0.0,Trempolino,1984
Write It Down,2008/02/25,colt,Our Miss Jones,2002,83,1.8,Alphabet Soup,1991
Yanolite,2008/01/31,filly,Silent Bull,2001,92,3.2,Holy Bull,1991
Zesty,2008/04/11,filly,Spirited Game,2001,93,3.6,Not For Love,1990
Aunt Glo,2009/02/14,filly,Brisquette,1998,97,5.4,Unbridled's Song,1993
Awesome Address,2009/03/03,gelding,Word of Mouth,2000,,,Saint Ballado,1989
Awesome Bella,2009/06/01,filly,Cindazanno,1990,91,2.7,Alleged,1974
Awesome Maneuver,2009/03/30,filly,Strategic Maneuver,1991,97,24.9,Cryptoclearance,1984
Awesome Story,2009/04/19,filly,Drexel Monorail,1999,95,4.1,Glitterman,1985
Awesome Venture (AUS),2009/09/01,filly,Defrere's Venture,2001,92,3.3,Defrere,1992
Awesomeatthetrack,2009/05/08,filly,Track Gal,1991,93,18.0,Track Barron,1981
Awesomekaylee,2009/04/02,filly,Getcozywithkaylee,2001,89,3.6,Zafarrancho (ARG),1982
Bear Mademoiselle,2009/02/28,filly,Mamselle Aries,2003,90,2.6,Artax,1995
Champion Again,2009/03/24,colt,Arctic Laur,2003,80,2.7,Bold Executive,1984
Clever Bird,2009/02/25,filly,Clever Squaw,1997,,,Rahy,1985
Dead On,2009/05/26,gelding,Split the Arrow,1999,84,1.7,Smart Strike,1992
Down by Law,2009/03/29,filly,Danzig's Humor,2005,,,Lemon Drop Kid,1996
Drill Sergeant,2009/02/22,colt,Shades of Grace,2001,74,1.0,Seeking the Gold,1985
Eqtiraan,2009/04/14,filly,Ridaa,1999,88,2.1,Seattle Slew,1974
Ever Awesome,2009/01/24,filly,Dante's Mary,1999,,,Boston Harbor,1994
Gordias,2009/04/12,colt,Voodoo Dancer,1998,98,27.9,Kingmambo,1990
Havilah,2009/03/14,filly,Herzblatt,1997,94,4.2,Cozzene,1980
Hip Hop Girl,2009/02/18,filly,Adams Theatre,2003,84,2.4,Honour and Glory,1993
His Royal Highness,2009/03/05,gelding,Royally Chosen,1998,96,12.4,In Excess (IRE),1987
Interlocking,2009/04/16,filly,Engaging,1994,,,Private Account,1976
Lady Artemis,2009/04/06,filly,Lady At Peace,1996,92,8.2,Lord At War (ARG),1980
Lisa T.,2009/03/31,filly,Supercharger,1995,97,5.5,A.P. Indy,1989
Little Lisa,2009/03/23,filly,Icy Tea,2003,,,Storm Cat,1983
Maltese Again,2009/03/21,colt,Lu Ravi,1995,98,33.3,A.P. Indy,1989
Matar,2009/05/20,gelding,Hero's Love,1988,98,16.8,Hero's Honor,1980
Nominee,2009/04/18,colt,La Porta,2005,93,3.9,Distorted Humor,1993
Pablo,2009/05/21,colt,Baby Zip,1991,87,2.5,Relaunch,1976
Paynter,2009/03/04,colt,Tizso,1995,5,0.0,Cee's Tizzy,1987
Prescott Brown,2009/04/04,gelding,Bird Town,2000,98,26.4,Cape Town,1995
Quick Change,2009/03/22,colt,Alternate,1999,98,9.8,Seattle Slew,1974
Recurrent,2009/02/09,gelding,Peace River Lady,1999,89,4.0,Woodman,1983
Run for Cecila,2009/02/17,filly,Not So Careless,1987,95,5.8,Desert Wine,1980
Watchnadiamond,2009/04/14,filly,Watchfull,1997,96,4.5,Notebook,1985
Unnamed,2010/02/12,colt,Bugs Day,2004,80,1.5,Holy Bull,1991
Awesome Buck,2010/03/18,gelding,Diadella,1997,98,12.8,Diesis (GB),1980
Awesome Dude,2010/04/18,gelding,Starrer,1998,98,21.2,Dynaformer,1985
Awesome Mama,2010/02/02,filly,Mama Nadine,2003,75,3.4,A.P. Indy,1989
Awesome Markiza,2010/03/01,filly,Valid Leader,1995,90,3.4,Valid Appeal,1972
Be a Hero,2010/02/23,gelding,Bettarun Fast,2003,88,5.8,Kelly Kip,1994
Belvedera,2010/03/25,filly,Forever Land,1989,84,5.2,Badger Land,1983
Berlin Beauty,2010/02/12,filly,Final Fling,2005,88,6.4,Bertrando,1989
Biscay Boy,2010/01/19,gelding,Grecian Lover,2002,85,2.7,Friendly Lover,1988
Chicago Kid,2010/03/10,gelding,Cozy Queen,2003,55,0.7,Cozzene,1980
Cromer,2010/03/25,colt,Sightseek,1999,99,52.7,Distant View,1991
Dance Again,2010/02/22,filly,Dance With Doves,2004,95,4.9,A.P. Indy,1989
Executive Power,2010/03/02,gelding,Fortune Rose,2004,72,4.3,Bertrando,1989
Fast Stop,2010/02/07,gelding,Stop the Lights,2003,68,1.0,Storm Cat,1983
Fight Again,2010/03/28,filly,Cat Fighter,2000,96,11.0,Storm Cat,1983
Fire Flight,2010/03/13,colt,Tizso,1995,5,0.0,Cee's Tizzy,1987
-Fitness (MEX),2010/03/13,filly,Sekira,2004,85,2.7,Holy Bull,1991
Frigate Bay,2010/03/30,filly,Casperina,2003,,,Golden Missile,1995
Jail House Money,2010/02/22,filly,Irish Cherry,1994,96,5.6,Irish Open,1984
Kiptiddy Do,2010/02/02,filly,Passionate Kip,2003,74,1.4,Kelly Kip,1994
Lillipad,2010/02/04,filly,Valid Lil,2003,97,5.0,Valid Expectations,1993
Oxbow,2010/03/26,colt,Tizamazing,2002,,,Cee's Tizzy,1987
Pastiglia,2010/04/13,colt,Paiota Falls,2001,99,12.9,Kris S.,1977
Rose Water,2010/02/22,filly,Sudsy Baby,2003,90,3.8,Lite the Fuse,1991
Satisfaction,2010/02/26,filly,Dancinginmydreams,1998,98,7.0,Seeking the Gold,1985
Stick to Your Guns,2010/04/05,filly,El Bank Robber,2003,78,2.0,Eltish,1992
Venus Son,2010/02/04,colt,Beyond Venus,2002,,,War Chant,1997
Veritate,2010/04/18,gelding,Touch Dial,1996,99,17.9,Phone Trick,1982
Water Lili,2010/03/09,filly,Here's to You,1996,99,16.4,Bertrando,1989
Z Maitre D,2010/01/17,gelding,Hostess,2003,89,6.5,Chester House,1995
Awesome Angel,2011/05/19,colt,Tom's Angel,2000,72,1.1,Boston Harbor,1994
Awesome Carver,2011/03/24,gelding,A B C Amanda,1999,,,Alphabet Soup,1991
Awesome Dawson,2011/04/25,gelding,Stormy Gal,1994,93,3.1,Storm Cat,1983
Awesome Electric,2011/02/07,filly,All Electric,2001,88,2.4,Grand Slam,1995
Awesome Lassie,2011/04/29,filly,Dynamite Lass,2002,97,5.8,Dynaformer,1985
Awesome Rebound,2011/02/02,gelding,Jane's the Name,1998,,,Trempolino,1984
Awesome Secret,2011/02/10,filly,Karakorum Starlet,2003,93,6.5,Skip Away,1993
Awesome Selena,2011/04/19,filly,Lady Hillingdon,2005,95,5.0,Vindication,2000
Awesome Surfer Gal,2011/03/01,filly,Malibu Beach,2006,85,7.8,Tapit,2001
Beetlebomb,2011/05/06,gelding,My American Girl,1998,74,0.9,Quiet American,1986
Bella Bianca,2011/04/23,filly,Whitewater Way,2000,85,2.1,Skip Away,1993
C J's Awesome,2011/01/20,gelding,C J's Leelee,2005,98,7.1,Mizzen Mast,1998
Collapse,2011/05/27,gelding,Awesome Glory,2001,91,3.1,Honour and Glory,1993
Expect a Lot,2011/04/19,colt,Tizamazing,2002,,,Cee's Tizzy,1987
French Perfume,2011/03/10,filly,Prominent Feather,1989,97,6.1,Lear Fan,1981
Helena Hurry,2011/03/19,gelding,Helena Handbasket,2006,74,1.2,Red Bullet,1997
Honest Dude,2011/04/26,gelding,Hartfelt,2005,76,3.0,Kafwain,2000
Lana's Pretty Girl,2011/04/11,filly,Tiza Smarty,2006,,,Tiznow,1997
More Than a Game,2011/01/20,colt,Infomint,1993,97,8.0,Key to the Mint,1969
Not Again,2011/05/18,filly,Bitter Lemon,2004,82,2.0,Lemon Drop Kid,1996
Rihanna (VEN),2011/05/16,filly,Smart Wildcat,2004,66,1.0,Smart Strike,1992
Sequiota,2011/04/30,filly,Transition Time,1999,81,4.1,Dynaformer,1985
Silver Pigeon,2011/04/25,filly,Honey Harbour,2003,48,0.9,Gone West,1984
Sioux,2011/03/21,colt,Andraste,2006,12,0.2,Pulpit,1994
Something Awesome,2011/04/11,gelding,Somethinaboutlaura,2002,97,14.1,Dance Floor,1989
Spelling Again,2011/04/15,filly,Spelling,1999,95,4.1,Alphabet Soup,1991
Zoom Zoom Zoom,2011/03/01,colt,Trout River Red,2003,89,4.2,Indian Charlie,1995
Adapt,2012/04/21,filly,Two Times Won,2002,93,3.7,Memo (CHI),1987
Alzakhem (KSA),2012/03/05,colt,Sudsy Baby,2003,90,3.8,Lite the Fuse,1991
Awesome Addback,2012/04/25,gelding,Bonita Meadow,1993,98,8.4,Meadowlake,1983
Awesome Girl,2012/03/15,filly,Langano,1998,92,3.3,Private Terms,1985
Awesome Quick,2012/03/14,filly,Bettarun Fast,2003,88,5.8,Kelly Kip,1994
Awesome Song,2012/04/05,filly,Song of Solomon,2006,91,4.5,Unbridled's Song,1993
Awesome Sting,2012/04/24,gelding,Wicked Sting,2006,,,Devil His Due,1989
Awesome Traum,2012/02/06,gelding,Traum,2006,,,Elusive Quality,1993
Awestruck Again,2012/04/20,filly,Moon Catcher,2004,93,14.2,Malibu Moon,1997
Back in the Fold,2012/05/06,filly,Ernfold,2007,95,5.4,Stormy Atlantic,1994
Bettyng On Lucy,2012/04/05,filly,Hannah's Dowery,2006,70,1.2,Stephen Got Even,1996
Doyouknowsomething,2012/01/22,gelding,Dovie,2003,,,Coronado's Quest,1995
Dunbrody,2012/02/13,colt,Zaraffa,2007,36,0.3,Mizzen Mast,1998
Flying Nimbus,2012/03/07,filly,Ryan's Inheritance,2004,57,0.7,Valid Expectations,1993
French Bride,2012/04/03,filly,Mamselle Aries,2003,90,2.6,Artax,1995
Life's Fortune,2012/04/11,gelding,Life in Seattle,1998,93,3.1,Unbridled,1987
Luxurious,2012/02/06,filly,All Electric,2001,88,2.4,Grand Slam,1995
Mission Driven,2012/02/13,gelding,Archstone,2003,87,2.1,Arch,1995
My Daddy's Awesome,2012/03/15,filly,Indivia,2004,87,2.5,Tiznow,1997
My Sweet Lady (TUR),2012/04/03,filly,Songthrush,2002,58,1.3,Unbridled's Song,1993
Oshie,2012/04/13,gelding,Invitation,2007,71,1.1,Vindication,2000
Poker Champ,2012/03/26,gelding,Poker Princess,2005,52,0.6,Slew City Slew,1984
Purring Again,2012/05/03,gelding,One Quiet Cat,2003,90,3.3,Catienus,1994
Smile Goot Luck,2012/03/05,colt,Glorious Smile,2006,57,3.5,Honour and Glory,1993
St. Reno,2012/05/04,gelding,Ms. Deep Pockets,1996,94,4.0,Buckaroo,1975
Twinkle Toes,2012/02/15,filly,Final Fling,2005,88,6.4,Bertrando,1989
Tyrrhenian,2012/03/01,colt,Shining Sea,2005,88,4.5,Stormy Atlantic,1994
Watusi,2012/03/17,filly,Haka,2006,96,5.5,Dynaformer,1985
Unnamed,2013/02/18,gelding,Zambezi Belle,1998,,,Lord At War (ARG),1980
Adenai,2013/02/10,filly,Senora Cat,2004,3,0.0,Cozzene,1980
American Pioneer,2013/03/12,gelding,Makoma,2007,88,3.6,Malibu Moon,1997
Anna House,2013/04/05,filly,Sweet Charity,1999,76,1.9,A.P. Indy,1989
Awesome Anita,2013/03/27,filly,Fourth Power,2006,18,0.1,Cozzene,1980
Awesome Breeze,2013/02/17,filly,Just Breezing,2004,,,Golden Missile,1995
Awesome Elaine,2013/03/02,filly,Courting Elaine,2005,77,1.4,Doneraile Court,1996
Awesome Gent,2013/04/17,gelding,Pawnee Patti,1994,95,3.8,Sir Richard Lewis,1987
Awesome K P,2013/05/20,gelding,Buck Trout's Niece,2001,70,1.0,Waquoit,1983
Awesome Relic,2013/03/15,gelding,Royal Relic,2000,,,Colonial Affair,1990
Awesome Slew,2013/02/06,colt,Slewfoundmoney,2004,84,3.6,Seeking the Gold,1985
Awesome Vacation,2013/02/11,gelding,Takeabreak,2002,,,A.P. Indy,1989
C J's Gal,2013/01/29,filly,C J's Leelee,2005,98,7.1,Mizzen Mast,1998
Circuit Reboot,2013/03/10,filly,Sharp Current,2007,46,0.6,Tiznow,1997
Clever Again,2013/04/10,filly,Rich N Clever,2004,89,2.9,Richter Scale,1994
Coco as in Chanel,2013/04/21,filly,Surf N Sand,1999,94,8.1,Boston Harbor,1994
Code of Silence,2013/04/27,gelding,Tiz a Fantasy,2003,68,2.2,Tiznow,1997
Deputy Drama,2013/05/07,colt,Female Drama,2007,42,3.4,Indian Charlie,1995
Driven West,2013/04/22,colt,Abba Gold,1998,86,2.0,Devil's Bag,1981
Goldstreak,2013/03/26,filly,Color of Gold,1996,,,Seeking the Gold,1985
Great Dane,2013/03/02,gelding,Canary Diamond,2006,96,6.9,Alphabet Soup,1991
Harlan's Wonder (JPN),2013/02/08,filly,Harlan's Ruby,2008,95,4.4,Harlan's Holiday,1999
Honest Effort,2013/03/20,gelding,Dream Delight,2006,62,0.8,Unbridled's Song,1993
Miss Jordana,2013/04/01,filly,Live Free Or Die,1999,83,2.6,Personal Flag,1983
Mybabybabysbaby,2013/01/14,filly,My Baby Baby,2005,97,6.6,Bernstein,1997
Mystery Mix,2013/03/07,filly,Lovely Lil,2007,96,8.2,Tiznow,1997
Nurmi,2013/02/27,gelding,Miss Norman,2003,95,5.5,Artax,1995
Patriotic,2013/04/03,gelding,Free Flying Soul,2005,94,10.5,Quiet American,1986
Reignite,2013/02/15,filly,Royal Septor,2007,35,0.4,Distorted Humor,1993
Royal Majestic,2013/02/22,gelding,Ginger Brew,2005,98,19.7,Milwaukee Brew,1997
Sapphire Spitfire,2013/02/16,filly,Sapphiresndiamonds,2005,71,1.3,Mineshaft,1999
Seattle Affair,2013/04/01,gelding,Sunday Affair,2007,,,A.P. Indy,1989
Yes Again,2013/03/04,filly,She's the General,2001,90,2.7,General Meeting,1988
Unnamed,2014/02/08,colt,Ez Indy,2007,,,A.P. Indy,1989
Unnamed,2014/05/17,filly,Relaxing Rhythm,1994,99,19.3,Easy Goer,1986
Alpha Alpha,2014/03/13,colt,Phil's Pill,2001,80,1.4,Cozzene,1980
Always Pleasant,2014/06/05,filly,Miss Pleasant,2006,87,3.8,Pleasantly Perfect,1998
Awesome Elvera,2014/04/04,filly,Christina d'Oro,2008,82,1.8,Medaglia d'Oro,1999
Awesome Gal,2014/02/22,filly,Grecian Lover,2002,85,2.7,Friendly Lover,1988
Awesome Nona,2014/03/16,filly,Heavenly Bliss,2008,,,Holy Bull,1991
Awesome River,2014/04/28,filly,Hartfelt,2005,76,3.0,Kafwain,2000
Bel Canto,2014/01/28,filly,Le Marais,2003,27,0.2,Unbridled's Song,1993
Big Again (DOM),2014/01/01,colt,Big Jan,2010,,,Yonaguska,1998
Bobby G,2014/04/22,gelding,Moon Catcher,2004,93,14.2,Malibu Moon,1997
Cabelery,2014/03/19,gelding,It's Tea Time,2007,92,7.5,Dynaformer,1985
Conquest Assassin,2014/05/15,gelding,North East Belle,1999,49,0.4,Beau Genius,1985
Double A,2014/03/25,gelding,Lauren's Tizzy,2003,88,3.1,Tiznow,1997
Everglow,2014/02/02,gelding,Brave Destiny,2000,68,1.1,Quiet American,1986
Far From Awesome,2014/01/21,gelding,La Flamme,2009,15,0.1,Giant's Causeway,1997
Fifth Avenue Girl,2014/01/28,filly,Indy Verse,2005,,,A.P. Indy,1989
Hard Knock Life,2014/03/06,gelding,Capeside Lady,2001,99,14.6,Cape Town,1995
Her Big Moment,2014/03/17,filly,Mama Nadine,2003,75,3.4,A.P. Indy,1989
Princess Leia,2014/03/15,filly,Twisted Sis,2004,48,0.5,A.P. Indy,1989
Remove the Limit (JPN),2014/03/19,gelding,Position Limit,2008,99,15.7,Bellamy Road,2002
Royal Insignia,2014/03/13,colt,Getback Time,2003,98,8.4,Gilded Time,1990
Samjeong Again (KOR),2014/02/26,colt,Kneeling's Pride,2004,67,1.0,Houston,1986
There They Go,2014/01/30,gelding,Starship Angel,2006,94,5.7,Running Stag,1994
Trap Game,2014/04/29,colt,Tizamazing,2002,,,Cee's Tizzy,1987
Trek,2014/03/08,gelding,Starship Cruiser,2003,93,4.6,Golden Missile,1995
Unnamed,2015/04/25,filly,Twinzz,2005,31,0.3,Cozzene,1980
American Driven,2015/05/03,gelding,Mercurial Menace,2009,42,0.5,Unbridled's Song,1993
Awesome Blue,2015/05/05,colt,Enchante,2008,87,2.2,Bluegrass Cat,2003
Awesome Ceebett,2015/04/12,colt,Ceebett's Dancer,1996,54,0.4,Moscow Ballet,1982
Awesome Clue,2015/03/28,filly,Including,2010,64,0.9,Include,1997
British Fields,2015/05/13,gelding,Allison's Hope,2001,15,0.0,Langfuhr,1992
Cocktails Again,2015/01/30,filly,Cocktails At Seven,2008,69,1.6,Smarty Jones,2001
Complicated Lady,2015/05/12,filly,Peggy May,2011,,,Lemon Drop Kid,1996
Count Again,2015/04/01,gelding,Count to Three,2002,97,7.0,Red Ransom,1987
Denver,2015/03/16,filly,Ditch the Act,2007,67,0.9,Gulch,1984
Eagle Dance,2015/04/17,gelding,Indian Way,2005,99,16.2,Indian Charlie,1995
Look'n Ahead,2015/02/07,colt,Hollidazzle,2010,,,Tiznow,1997
Magic Feet,2015/03/05,filly,Magic Maya,2009,63,0.9,Proud Citizen,1999
Miss Midge,2015/05/13,filly,Tiz Elemental,2004,99,14.0,Cee's Tizzy,1987
Mr. Persistence,2015/02/21,colt,Persist,2007,,,Tiznow,1997
Nikki's Bad,2015/04/11,filly,Nec Metu,2008,,,Successful Appeal,1996
Octoberfest,2015/04/21,gelding,One On Tap,2004,,,Pleasant Tap,1987
Princess Zoe,2015/05/06,filly,Now and Forever,2006,76,1.7,Maria's Mon,1993
Quest of Glory,2015/01/30,gelding,Delve,2002,,,Seeking the Gold,1985
Stunning Baby,2015/01/15,gelding,My Baby Baby,2005,97,6.6,Bernstein,1997
Super Sol,2015/03/25,colt,Kiss the Lady,2010,88,2.7,Quiet American,1986
Sweet Sting,2015/02/15,filly,Perfect Sting,1996,99,47.3,Red Ransom,1987
Too Much Time,2015/02/21,gelding,Takeabreak,2002,,,A.P. Indy,1989
Virtuoso,2015/05/02,filly,Tizso,1995,5,0.0,Cee's Tizzy,1987
Wooderson,2015/05/09,colt,Lotta Kim,2001,99,12.2,Roar,1993
Zig Zillion,2015/02/18,gelding,Power Lady,2010,96,4.0,Discreet Cat,2003
Unnamed,2016/02/23,colt,Innate Grace,2011,75,1.3,Pulpit,1994
A Thousand Stars,2016/05/03,filly,Magic Vixen,2010,4,0.0,Tapit,2001
Already Awesome,2016/02/09,colt,Storm Strip,2001,85,1.8,Comic Strip,1995
Always Shopping,2016/04/09,filly,Stopshoppingmaria,2009,97,9.5,More Than Ready,1997
Awesome Aphra,2016/02/22,filly,Aibhilin,2011,95,3.9,Sky Mesa,2000
Awesome Marq,2016/04/18,filly,Marquet Madness,2007,85,2.7,Pico Central (BRZ),1999
Awesome Score,2016/02/12,gelding,The Best Option,2008,80,1.7,Pleasant Tap,1987
Awesome Starlet,2016/03/27,filly,Capital Plan,2008,98,8.6,Rock Hard Ten,2001
Awesome Tiara,2016/03/09,filly,Camargue,2007,,,Mineshaft,1999
Belissimo,2016/02/10,filly,Smart Sting,2008,97,9.0,Smart Strike,1992
Blue Danube,2016/04/18,gelding,Majestic River,2010,97,8.7,A.P. Indy,1989
Boyson,2016/04/07,gelding,Musical Mystery,2012,12,0.1,Concerto,1994
Cash Again,2016/02/29,gelding,Collect the Cash,1997,92,11.4,Dynaformer,1985
Classic Beauty,2016/04/21,filly,Clearbrook,2010,94,3.9,Smart Strike,1992
Dempsey,2016/03/07,colt,Unrequited,2011,,,Unbridled's Song,1993
Gladesman,2016/05/15,colt,Sydney's Kiss,1999,86,1.8,Boston Harbor,1994
Groundhog Day,2016/04/04,gelding,Brave Destiny,2000,68,1.1,Quiet American,1986
Hurricane Andrew,2016/04/15,gelding,Can't Bluff Me,1997,60,1.2,Pine Bluff,1989
Impressive Again,2016/04/24,gelding,Ceebett's Dancer,1996,54,0.4,Moscow Ballet,1982
Lahela,2016/03/10,filly,My Emmy Girl,2011,,,Street Sense,2004
Light Festival,2016/03/31,filly,Miss Isella,2005,97,13.7,Silver Charm,1994
Madame Jeanette,2016/02/19,filly,Katie's Heat,2011,,,Unusual Heat,1990
Marvelous Martina,2016/04/26,filly,Marvelous Margaret,2009,73,1.6,Put It Back,1998
Musical Mood,2016/02/22,filly,Ez Indy,2007,,,A.P. Indy,1989
Notorious Gal,2016/04/25,filly,Mercurial Menace,2009,42,0.5,Unbridled's Song,1993
Real Rocket,2016/03/20,gelding,Harve de Grace,2000,81,1.6,Boston Harbor,1994
Self Defense,2016/03/22,gelding,Pussyfoot,2012,62,0.8,Tiznow,1997
Skrilla,2016/04/10,colt,Miss Attractive,2002,93,6.5,Running Stag,1994
Souper Thriller,2016/04/22,gelding,Glamorista,2007,98,6.7,Unbridled's Song,1993
Valencia Vale,2016/04/13,filly,Andraste,2006,12,0.2,Pulpit,1994
Wicked Awesome,2016/03/02,filly,Mira Alta,2010,,,Curlin,2004
Annoula,2017/03/02,filly,Athena Ballerina,2006,1,0.0,Lion Heart,2001
Approved,2017/04/07,gelding,Beach Walk,2013,77,1.4,Distorted Humor,1993
Borano (KSA),2017/02/28,colt,Ashlee's Princess,2010,91,3.3,Put It Back,1998
Christmas Pickles,2017/03/20,filly,Rivertown Belle,2010,79,5.1,Bellamy Road,2002
Collinsavenue,2017/03/20,filly,Great Mills High,2010,63,2.3,Student Council,2002
Coral Berry,2017/01/15,filly,Dragonberry,2011,92,3.0,Unbridled's Song,1993
Favorite Sin,2017/02/04,filly,On Fire Baby,2009,99,20.0,Smoke Glacken,1994
Idolo Mundial,2017/03/14,colt,Topic,2010,78,2.8,Discreet Cat,2003
Mimi's Awesome,2017/02/10,filly,Tia Tamina,2013,,,Uncle Mo,2008
Mrs. Awesome,2017/04/11,filly,Playful Run,1999,,,Run Softly,1991
Omni Diva,2017/02/28,filly,Ultimate Prize,2012,14,0.1,Smart Strike,1992
On to Cincinnati,2017/02/28,filly,Conquest War Miss,2012,32,0.3,War Front,2002
Seattle Again,2017/05/05,filly,Exotic Design,2006,19,0.1,A.P. Indy,1989
Small Talk,2017/02/26,gelding,Ain't No Tellin',2008,32,0.3,Dynaformer,1985
Such Great Heights,2017/04/18,filly,Starship Universe,2009,78,1.9,Mineshaft,1999
Thabooh (KSA),2017/03/28,colt,Okra Wind Free,2010,35,0.4,Slew City Slew,1984
Tizso Awesome,2017/05/05,filly,Tizakitty,2001,97,6.0,Distinctive Cat,1993
Yeonggwangui Punch,2017/04/21,colt,Unhedged,2010,85,3.2,Broken Vow,1997
Unnamed,2018/04/02,colt,Athena Ballerina,2006,1,0.0,Lion Heart,2001
Unnamed,2018/04/26,colt,Glorious Angel,2010,31,0.3,Put It Back,1998
Al Maroom,2018/05/15,filly,Quick Split,2007,71,1.4,Broken Vow,1997
Alki Beach,2018/04/20,gelding,Beach Day,2010,11,0.1,A.P. Indy,1989
/April Rose=Chi,2018/07/25,filly,April Foolishness,2002,74,1.7,Secret Hello,1987
Aramco (KSA),2018/02/03,colt,Jamie's Catch,2011,14,0.1,Hal's Image,2002
Aspen Again,2018/04/30,filly,Saintcerely,2002,,,Saint Ballado,1989
Awesome Break,2018/04/10,gelding,Drought Breaker,2001,83,2.9,Steinlen (GB),1983
Awesome Dynamo,2018/03/31,gelding,Dynamizzen,2012,51,0.6,Mizzen Mast,1998
Awesome Remix,2018/01/26,gelding,Siren's Song,2012,,,Unbridled's Song,1993
Awesome Springs,2018/05/02,colt,Alisa's Catch,2012,8,0.0,Hal's Image,2002
Awesome Team,2018/04/09,filly,Team Hansen,2010,,,Unbridled's Song,1993
Complete Lady,2018/03/02,filly,Complete Game,2011,43,0.5,Afleet Alex,2002
Hipster,2018/03/28,gelding,My Fast Friend,2006,32,0.3,Friends Lake,2001
Killoean Rose,2018/04/07,filly,Killoe,2001,64,0.9,Kris S.,1977
Koko's Mom,2018/02/25,filly,Simon Sez Run Fast,2007,18,0.2,Kissin Kris,1990
Maglev Joy (KOR),2018/01/01,filly,Maglev,2011,20,0.2,Silver Train,2002
Once Again,2018/04/07,gelding,Kylbrylie,2013,55,1.5,Pulpit,1994
Plenty Awesome,2018/02/06,filly,Plenty O'Toole,2010,83,2.1,Tiznow,1997
Prince Perfecta,2018/03/10,gelding,Princess Perfect,2008,73,1.7,Crafty Friend,1993
Return to Harbor,2018/04/12,filly,Havre de Place,2010,33,0.3,Out of Place,1987
Rightandjust,2018/04/16,colt,Pussyfoot,2012,62,0.8,Tiznow,1997
Seif Almolaqa (KSA),2018/05/03,colt,Sanctifica,2011,88,4.0,Distorted Humor,1993
Super Chief,2018/05/11,colt,Addagirladdy,2008,30,0.3,Doneraile Court,1996
Tijuana Flair,2018/02/06,filly,Bears Measure,2012,,,Tiznow,1997
Unnamed,2019/04/07,colt,Mercy Lou,2009,78,1.8,Seattle Fitz (ARG),1999
Angelo's Superstar,2019/06/22,colt,Lets Play Footsies,2005,11,0.1,Cee's Tizzy,1987
Awesome Oak,2019/05/03,filly,Ms Silver Oak,2008,73,1.6,Leroidesanimaux (BRZ),2000
Awesome Strike,2019/02/01,gelding,Strike Right Now,2013,56,4.0,Tiznow,1997
Gypsy Lynn,2019/05/06,filly,Margo's Delight,2006,55,0.7,Texas Glitter,1996
Ne Hochu,2019/04/06,colt,Crystal Halo,1997,94,4.2,Halo,1969
Printrack,2019/02/17,gelding,Lac Du Printemps,1998,52,0.3,Meadowlake,1983
Super Sting,2019/04/12,filly,Perfect Sting,1996,99,47.3,Red Ransom,1987
